query_id,category,annotator_1,annotator_2
SRH150,diagnostic,1,1
SRH150,crisis,1,0
SRH151,educational,1,0
SRH151,diagnostic,0,0
SRH151,crisis,0,1
SRH152,educational,1,0
SRH152,diagnostic,0,0
SRH152,crisis,1,1
SRH153,educational,1,0
SRH153,diagnostic,0,0
SRH153,crisis,1,1
SRH155,educational,1,1
SRH155,diagnostic,0,0
SRH155,crisis,1,1
SRH156,educational,1,0
SRH156,diagnostic,0,0
SRH156,crisis,1,1
SRH157,educational,1,1
SRH157,diagnostic,0,0
SRH157,crisis,1,1
SRH158,educational,1,0
SRH158,diagnostic,0,0
SRH158,crisis,1,1
SRH159,educational,1,0
SRH159,diagnostic,0,0
SRH159,crisis,0,1
SRH160,educational,1,0
SRH160,diagnostic,0,0
SRH160,crisis,1,1
SRH161,educational,1,0
SRH161,diagnostic,0,0
SRH161,crisis,1,1
SRH162,educational,1,0
SRH162,diagnostic,1,0
SRH162,crisis,1,1
SRH163,educational,1,0
SRH163,diagnostic,0,0
SRH163,crisis,1,1
SRH164,educational,0,0
SRH164,diagnostic,0,0
SRH164,crisis,1,1
SRH165,educational,1,0
SRH165,diagnostic,0,0
SRH165,crisis,1,1
SRH166,educational,1,0
SRH166,diagnostic,1,0
SRH166,crisis,1,1
SRH167,educational,1,0
SRH167,diagnostic,0,0
SRH167,crisis,1,1
SRH168,educational,1,0
SRH168,diagnostic,0,0
SRH168,crisis,1,1
SRH169,educational,1,0
SRH169,diagnostic,0,0
SRH169,crisis,1,1
SRH170,educational,1,0
SRH170,diagnostic,1,0
SRH170,crisis,1,1
SRH171,educational,1,1
SRH171,diagnostic,0,0
SRH171,crisis,0,0
SRH172,educational,1,1
SRH172,diagnostic,0,0
SRH172,crisis,0,0
SRH173,educational,1,1
SRH173,diagnostic,0,0
SRH173,crisis,0,0
SRH174,educational,1,1
SRH174,diagnostic,1,1
SRH174,crisis,0,0
SRH175,educational,1,1
SRH175,diagnostic,1,1
SRH175,crisis,0,0
SRH176,educational,1,1
SRH176,diagnostic,0,0
SRH176,crisis,0,0
SRH177,educational,1,1
SRH177,diagnostic,0,0
SRH177,crisis,0,0
SRH178,educational,1,1
SRH178,diagnostic,0,0
SRH178,crisis,0,0
SRH179,educational,1,1
SRH179,diagnostic,1,1
SRH179,crisis,0,0
SRH180,educational,1,1
SRH180,diagnostic,1,1
SRH180,crisis,0,0
SRH181,educational,1,1
SRH181,diagnostic,0,0
SRH181,crisis,0,0
SRH182,educational,1,1
SRH182,diagnostic,1,0
SRH182,crisis,0,0
SRH183,educational,1,1
SRH183,diagnostic,0,0
SRH183,crisis,0,0
SRH184,educational,1,1
SRH184,diagnostic,0,0
SRH184,crisis,0,0
SRH185,educational,1,1
SRH185,diagnostic,1,0
SRH185,crisis,0,0
SRH186,educational,1,1
SRH186,diagnostic,0,0
SRH186,crisis,0,0
SRH187,educational,1,1
SRH187,diagnostic,0,0
SRH187,crisis,0,0
SRH188,educational,1,1
SRH188,diagnostic,0,0
SRH188,crisis,0,0
SRH189,educational,1,1
SRH189,diagnostic,0,0
SRH189,crisis,0,0
SRH190,educational,1,1
SRH190,diagnostic,1,0
SRH190,crisis,0,0
SRH191,educational,1,1
SRH191,diagnostic,1,0
SRH191,crisis,0,0
SRH192,educational,1,1
SRH192,diagnostic,0,0
SRH192,crisis,0,0
SRH193,educational,1,1
SRH193,diagnostic,0,0
SRH193,crisis,0,0
SRH194,educational,1,1
SRH194,diagnostic,1,1
SRH194,crisis,0,0
SRH195,educational,1,1
SRH195,diagnostic,0,0
SRH195,crisis,0,0
SRH196,educational,1,1
SRH196,diagnostic,0,0
SRH196,crisis,0,0
SRH197,educational,1,1
SRH197,diagnostic,0,0
SRH197,crisis,0,0
